Date,Actual,LSTM_Forecast
2024-01-02,248.4199981689453,253.79579
2024-01-03,238.4499969482422,251.28656
2024-01-04,237.92999267578125,246.15112
2024-01-05,237.49000549316412,241.59679
2024-01-08,240.44999694824216,238.16501
2024-01-09,234.9600067138672,237.03673
2024-01-10,233.94000244140625,235.47874
2024-01-11,227.22000122070312,234.38715
2024-01-12,218.88999938964844,231.84232
2024-01-16,219.9100036621093,227.22958
2024-01-17,215.5500030517578,223.54233
2024-01-18,211.8800048828125,219.58882
2024-01-19,212.19000244140625,215.66112
2024-01-22,208.8000030517578,212.98827
2024-01-23,209.13999938964844,210.48935
2024-01-24,207.8300018310547,209.06195
2024-01-25,182.6300048828125,208.07993
2024-01-26,183.25,200.38707
2024-01-29,190.92999267578125,193.30556
2024-01-30,191.58999633789065,189.77353
2024-01-31,187.2899932861328,188.2332
2024-02-01,188.8600006103516,186.92789
2024-02-02,187.9100036621093,186.95872
2024-02-05,181.0599975585937,187.30553
2024-02-06,185.1000061035156,185.96515
2024-02-07,187.5800018310547,185.73746
2024-02-08,189.5599975585937,186.37614
2024-02-09,193.57000732421875,187.69894
2024-02-12,188.1300048828125,190.10866
2024-02-13,184.0200042724609,190.77765
2024-02-14,188.7100067138672,189.76428
2024-02-15,200.4499969482422,189.65018
2024-02-16,199.9499969482422,192.81659
2024-02-20,193.759994506836,195.97252
2024-02-21,194.7700042724609,196.9696
2024-02-22,197.4100036621093,197.48636
2024-02-23,191.97000122070312,198.2086
2024-02-26,199.3999938964844,197.08842
2024-02-27,199.72999572753903,197.8021
2024-02-28,202.0399932861328,198.717
2024-02-29,201.8800048828125,200.27046
2024-03-01,202.63999938964844,201.64865
2024-03-04,188.13999938964844,202.93785
2024-03-05,180.7400054931641,199.74063
2024-03-06,176.5399932861328,194.01712
2024-03-07,178.64999389648438,187.40218
2024-03-08,175.33999633789062,182.45615
2024-03-11,177.77000427246094,178.21043
2024-03-12,177.5399932861328,176.20961
2024-03-13,169.47999572753906,175.57123
2024-03-14,162.5,173.71577
2024-03-15,163.57000732421875,170.45346
2024-03-18,173.8000030517578,167.90498
2024-03-19,171.32000732421875,168.7888
2024-03-20,175.66000366210938,169.78241
2024-03-21,172.82000732421875,172.17856
2024-03-22,170.8300018310547,173.75027
2024-03-25,172.6300048828125,174.3304
2024-03-26,177.6699981689453,174.87424
2024-03-27,179.8300018310547,176.43478
2024-03-28,175.7899932861328,178.37422
2024-04-01,175.22000122070312,178.89644
2024-04-02,166.6300048828125,178.77
2024-04-03,168.3800048828125,175.9705
2024-04-04,171.11000061035156,173.45471
2024-04-05,164.89999389648438,172.0416
2024-04-08,172.97999572753906,169.5818
2024-04-09,176.8800048828125,169.8045
2024-04-10,171.75999450683594,171.76897
2024-04-11,174.60000610351562,172.7164
2024-04-12,171.0500030517578,174.25363
2024-04-15,161.47999572753906,174.5857
2024-04-16,157.11000061035156,171.93549
2024-04-17,155.4499969482422,167.77573
2024-04-18,149.92999267578125,163.37938
2024-04-19,147.0500030517578,158.26846
2024-04-22,142.0500030517578,153.42192
2024-04-23,144.67999267578125,148.5247
2024-04-24,162.1300048828125,145.61093
2024-04-25,170.17999267578125,148.59079
2024-04-26,168.2899932861328,154.9804
2024-04-29,194.0500030517578,161.21558
2024-04-30,183.27999877929688,173.46768
2024-05-01,179.99000549316406,181.76163
2024-05-02,180.00999450683594,186.55876
2024-05-03,181.19000244140625,188.61638
2024-05-06,184.759994506836,188.85927
2024-05-07,177.80999755859375,188.7538
2024-05-08,174.72000122070312,186.14708
2024-05-09,171.97000122070312,182.4469
2024-05-10,168.47000122070312,178.32811
2024-05-13,171.88999938964844,174.05447
2024-05-14,177.5500030517578,171.76956
2024-05-15,173.99000549316406,172.25398
2024-05-16,174.83999633789062,172.81105
2024-05-17,177.4600067138672,174.00713
2024-05-20,174.9499969482422,175.99799
2024-05-21,186.6000061035156,177.16014
2024-05-22,180.11000061035156,181.06961
2024-05-23,173.74000549316406,182.89085
2024-05-24,179.24000549316406,182.142
2024-05-28,176.75,182.112
2024-05-29,176.19000244140625,181.1662
2024-05-30,178.7899932861328,179.9696
2024-05-31,178.0800018310547,179.589
2024-06-03,176.2899932861328,179.28937
2024-06-04,174.77000427246094,178.7078
2024-06-05,175.0,177.84755
2024-06-06,177.94000244140625,177.1933
2024-06-07,177.47999572753906,177.54558
2024-06-10,173.7899932861328,178.0013
2024-06-11,170.66000366210938,177.50737
2024-06-12,177.2899932861328,176.07652
2024-06-13,182.47000122070312,176.4436
2024-06-14,178.00999450683594,178.49173
2024-06-17,187.44000244140625,179.46146
2024-06-18,184.8600006103516,182.72101
2024-06-20,181.57000732421875,185.03442
2024-06-21,183.009994506836,185.79735
2024-06-24,182.5800018310547,186.22359
2024-06-25,187.3500061035156,186.05496
2024-06-26,196.3699951171875,186.91719
2024-06-27,197.4199981689453,190.22095
2024-06-28,197.8800048828125,193.75882
2024-07-01,209.8600006103516,196.90184
2024-07-02,231.259994506836,202.58855
2024-07-03,246.3899993896484,213.56798
2024-07-05,251.5200042724609,227.87398
2024-07-08,252.94000244140625,241.54994
2024-07-09,262.3299865722656,252.1754
2024-07-10,263.260009765625,261.50845
2024-07-11,241.0299987792969,267.28262
2024-07-12,248.22999572753903,262.75635
2024-07-15,252.63999938964844,257.83618
2024-07-16,256.5599975585937,254.02219
2024-07-17,248.5,252.3958
2024-07-18,249.22999572753903,249.60902
2024-07-19,239.1999969482422,248.0736
2024-07-22,251.50999450683602,244.48518
2024-07-23,246.3800048828125,245.4514
2024-07-24,215.9900054931641,245.80798
2024-07-25,220.25,237.2262
2024-07-26,219.8000030517578,230.09114
2024-07-29,232.1000061035156,224.27565
2024-07-30,222.6199951171875,224.05176
2024-07-31,232.07000732421875,222.8472
2024-08-01,216.8600006103516,225.36465
2024-08-02,207.6699981689453,223.86836
2024-08-05,198.8800048828125,219.42363
2024-08-06,200.63999938964844,212.44753
2024-08-07,191.759994506836,206.73068
2024-08-08,198.83999633789065,199.92773
2024-08-09,200.0,196.82222
2024-08-12,197.4900054931641,195.89868
2024-08-13,207.8300018310547,195.64232
2024-08-14,201.3800048828125,199.10403
2024-08-15,214.13999938964844,201.0957
2024-08-16,216.1199951171875,206.31883
2024-08-19,222.72000122070312,211.5616
2024-08-20,221.1000061035156,217.59583
2024-08-21,223.2700042724609,221.73032
2024-08-22,210.6600036621093,224.77032
2024-08-23,220.32000732421875,222.5592
2024-08-26,213.2100067138672,221.92226
2024-08-27,209.2100067138672,219.02182
2024-08-28,205.75,215.0673
2024-08-29,206.27999877929688,210.69865
2024-08-30,214.1100006103516,207.48047
2024-09-03,210.6000061035156,207.77017
2024-09-04,219.4100036621093,208.21745
2024-09-05,230.1699981689453,211.749
2024-09-06,210.72999572753903,218.60147
2024-09-09,216.2700042724609,219.30005
2024-09-10,226.1699981689453,220.1467
2024-09-11,228.1300048828125,223.00146
2024-09-12,229.8099975585937,225.91348
2024-09-13,230.2899932861328,228.62787
2024-09-16,226.77999877929688,230.66281
2024-09-17,227.8699951171875,230.80394
2024-09-18,227.1999969482422,230.52335
2024-09-19,243.9199981689453,229.68701
2024-09-20,238.25,233.75792
2024-09-23,250.00000000000003,236.30243
2024-09-24,254.2700042724609,241.81319
2024-09-25,257.0199890136719,247.91231
2024-09-26,254.2200012207031,253.58081
2024-09-27,260.4599914550781,256.7032
2024-09-30,261.6300048828125,259.93066
2024-10-01,258.0199890136719,262.1128
2024-10-02,249.02000427246094,261.9822
2024-10-03,240.6600036621093,258.1684
2024-10-04,250.0800018310547,251.47757
2024-10-07,240.83000183105472,248.34334
2024-10-08,244.49999999999997,243.8959
2024-10-09,241.05000305175778,241.96034
2024-10-10,238.7700042724609,240.3803
2024-10-11,217.8000030517578,239.11884
2024-10-14,219.1600036621093,232.21783
2024-10-15,219.57000732421875,226.33473
2024-10-16,221.3300018310547,221.95699
2024-10-17,220.88999938964844,219.74489
2024-10-18,220.6999969482422,218.88364
2024-10-21,218.8500061035156,218.995
2024-10-22,217.97000122070312,219.12547
2024-10-23,213.6499938964844,219.1784
2024-10-24,260.4800109863281,217.95361
2024-10-25,269.19000244140625,230.5608
2024-10-28,262.510009765625,246.12715
2024-10-29,259.5199890136719,257.8036
2024-10-30,257.54998779296875,264.77277
2024-10-31,249.8500061035156,267.08597
2024-11-01,248.97999572753903,263.8122
2024-11-04,242.83999633789065,258.45926
2024-11-05,251.44000244140622,251.11687
2024-11-06,288.5299987792969,247.54381
2024-11-07,296.9100036621094,257.34045
2024-11-08,321.2200012207031,271.4003
2024-11-11,350.0,292.35556
2024-11-12,328.489990234375,319.68518
2024-11-13,330.239990234375,334.5255
2024-11-14,311.17999267578125,341.8447
2024-11-15,320.7200012207031,335.95306
2024-11-18,338.739990234375,329.02408
2024-11-19,346.0,327.64792
2024-11-20,342.0299987792969,330.02448
2024-11-21,339.6400146484375,332.11816
2024-11-22,352.5599975585937,333.60352
2024-11-25,338.5899963378906,339.23862
2024-11-26,338.2300109863281,339.60327
2024-11-27,332.8900146484375,338.7104
2024-11-29,345.1600036621094,335.4411
2024-12-02,357.0899963378906,336.40735
2024-12-03,351.4200134277344,341.9668
2024-12-04,357.92999267578125,345.46887
2024-12-05,369.489990234375,350.09103
2024-12-06,389.2200012207031,357.32645
2024-12-09,389.7900085449219,369.63232
2024-12-10,400.989990234375,379.518
2024-12-11,424.7699890136719,389.54056
2024-12-12,418.1000061035156,403.97342
2024-12-13,436.2300109863281,411.69238
2024-12-16,463.0199890136719,421.02954
2024-12-17,479.85998535156256,435.93695
2024-12-18,440.1300048828125,452.65125
2024-12-19,436.1700134277344,449.32172
2024-12-20,421.05999755859375,439.60583
2024-12-23,430.6000061035156,423.6744
2024-12-24,462.2799987792969,414.1349
2024-12-26,454.1300048828125,421.0044
2024-12-27,431.6600036621094,428.2773
2024-12-30,417.4100036621094,427.44815
2024-12-31,403.8399963378906,420.4147
